"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;";"0.0";"0";"1831";"270";"0";"270";"1561";"209511";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus;";"0.0";"0";"51";"16";"0";"16";"35";"209765";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;";"0.0";"0";"717";"117";"0";"117";"600";"209664";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosotenuis;";"0.0";"0";"34";"5";"0";"5";"29";"209776";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum;";"0.0";"0";"27";"9";"0";"9";"18";"209772";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosarchaeum;";"0.0";"0";"63";"18";"0";"18";"45";"209763";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;";"0.0";"0";"603";"17";"0";"17";"586";"209764";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;";"0.0";"0";"603";"17";"0";"17";"586";"209764";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus;";"0.0";"0";"49";"3";"0";"3";"46";"209778";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;";"0.0";"0";"233";"6";"0";"6";"227";"209775";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;";"0.0";"0";"141";"5";"0";"5";"136";"209776";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;";"0.0";"0";"141";"5";"0";"5";"136";"209776";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Candidatus Nitrosotalea;";"0.0";"0";"17";"2";"0";"2";"15";"209779";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;SCGC AB-179-E04;";"0.0";"0";"57";"8";"0";"8";"49";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;uncultured;";"0.0";"0";"56";"1";"0";"1";"55";"209780";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;";"0.0";"0";"691";"161";"0";"161";"530";"209620";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;";"0.0";"0";"219";"30";"0";"30";"189";"209751";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;";"0.0";"0";"71";"6";"0";"6";"65";"209775";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Acidilobus;";"0.0";"0";"10";"3";"0";"3";"7";"209778";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Aeropyrum;";"0.0";"0";"27";"2";"0";"2";"25";"209779";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Caldisphaera;";"0.0";"0";"13";"1";"0";"1";"12";"209780";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Stetteria;";"0.0";"0";"4";"0";"0";"0";"4";"209781";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Thermodiscus;";"0.0";"0";"12";"0";"0";"0";"12";"209781";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;";"0.0";"0";"44";"13";"0";"13";"31";"209768";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;";"0.0";"0";"9";"7";"0";"7";"2";"209774";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;";"0.0";"0";"16";"2";"0";"2";"14";"209779";"39061"
