"","Primer_name","Phyla","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"178","Ins16S_1shortF_70_F.Ins16S_1shortR_70_R","Arthropoda",944,48637,0.0194090918436581,"Metazoa","16S",200,100,"Test"
"179","Ins16S_1shortF_70_F.Ins16S_1shortR_70_R","Chordata",47693,48637,0.980590908156342,"Metazoa","16S",200,100,"Test"
"180","Klin0341_19_F.Klin0785_CR_19_R","Actinobacteria",3117,53280,0.0585022522522523,"Bacteria","16S",500,400,"Test"
"181","Klin0341_19_F.Klin0785_CR_19_R","Bacteroidetes",1605,53280,0.0301238738738739,"Bacteria","16S",500,400,"Test"
"182","Klin0341_19_F.Klin0785_CR_19_R","Firmicutes",38423,53280,0.721152402402402,"Bacteria","16S",500,400,"Test"
"183","Klin0341_19_F.Klin0785_CR_19_R","Fusobacteria",5461,53280,0.102496246246246,"Bacteria","16S",500,400,"Test"
"184","Klin0341_19_F.Klin0785_CR_19_R","Proteobacteria",4374,53280,0.0820945945945946,"Bacteria","16S",500,400,"Test"
"185","Klin0341_19_F.Klin0785_CR_19_R","Streptophyta",6,53280,0.000112612612612613,"Bacteria","16S",500,400,"Test"
"186","Klin0341_19_F.Klin0785_CR_19_R","Tenericutes",294,53280,0.00551801801801802,"Bacteria","16S",500,400,"Test"
"187","L2513_64_F.H2714_64_R","Chordata",997486,997486,1,"Metazoa","16S",300,200,"Test"
"188","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Annelida",134,80815,0.0016581080245004,"Eukaryota","28S",500,400,"Test"
"189","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Apicomplexa",9776,80815,0.120967642145641,"Eukaryota","28S",500,400,"Test"
"190","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Arthropoda",113,80815,0.00139825527439213,"Eukaryota","28S",500,400,"Test"
"191","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Ascomycota",4109,80815,0.0508445214378519,"Eukaryota","28S",500,400,"Test"
"192","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Bacillariophyta",515,80815,0.00637257934789334,"Eukaryota","28S",500,400,"Test"
"193","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Basidiomycota",39147,80815,0.484402648023263,"Eukaryota","28S",500,400,"Test"
"194","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Chlorophyta",13232,80815,0.163731980449174,"Eukaryota","28S",500,400,"Test"
"195","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Chytridiomycota",571,80815,0.00706552001484873,"Eukaryota","28S",500,400,"Test"
"196","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Cryptomycota",56,80815,0.000692940666955392,"Eukaryota","28S",500,400,"Test"
"197","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Mucoromycota",12681,80815,0.156913939243952,"Eukaryota","28S",500,400,"Test"
"198","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Nematoda",50,80815,0.000618697024067314,"Eukaryota","28S",500,400,"Test"
"199","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Platyhelminthes",11,80815,0.000136113345294809,"Eukaryota","28S",500,400,"Test"
"200","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Streptophyta",420,80815,0.00519705500216544,"Eukaryota","28S",500,400,"Test"
"201","Mach1_9_F.Mach2Gen_7_R","Annelida",7,10654,0.000657030223390276,"Eukaryota","18S",600,500,"Test"
"202","Mach1_9_F.Mach2Gen_7_R","Apicomplexa",355,10654,0.0333208184719354,"Eukaryota","18S",600,500,"Test"
"203","Mach1_9_F.Mach2Gen_7_R","Arthropoda",49,10654,0.00459921156373193,"Eukaryota","18S",600,500,"Test"
"204","Mach1_9_F.Mach2Gen_7_R","Ascomycota",513,10654,0.0481509292284588,"Eukaryota","18S",600,500,"Test"
"205","Mach1_9_F.Mach2Gen_7_R","Basidiomycota",139,10654,0.0130467430073212,"Eukaryota","18S",600,500,"Test"
"206","Mach1_9_F.Mach2Gen_7_R","Chlorophyta",24,10654,0.0022526750516238,"Eukaryota","18S",600,500,"Test"
"207","Mach1_9_F.Mach2Gen_7_R","Firmicutes",751,10654,0.0704899568237282,"Eukaryota","18S",600,500,"Test"
"208","Mach1_9_F.Mach2Gen_7_R","Mucoromycota",1534,10654,0.143983480382955,"Eukaryota","18S",600,500,"Test"
"209","Mach1_9_F.Mach2Gen_7_R","Nematoda",6918,10654,0.649333583630561,"Eukaryota","18S",600,500,"Test"
"210","Mach1_9_F.Mach2Gen_7_R","Platyhelminthes",43,10654,0.00403604280082598,"Eukaryota","18S",600,500,"Test"
"211","Mach1_9_F.Mach2Gen_7_R","Proteobacteria",300,10654,0.0281584381452975,"Eukaryota","18S",600,500,"Test"
"212","Mach1_9_F.Mach2Gen_7_R","Streptophyta",13,10654,0.00122019898629623,"Eukaryota","18S",600,500,"Test"
"213","Mach1_9_F.Mach2Gen_7_R","Tardigrada",8,10654,0.000750891683874601,"Eukaryota","18S",600,500,"Test"
"214","MarkN_10_F.Euk360_CR_21_R","Annelida",543,52953,0.0102543765225766,"Eukaryota","18S",400,300,"Test"
"215","MarkN_10_F.Euk360_CR_21_R","Apicomplexa",1478,52953,0.0279115441995732,"Eukaryota","18S",400,300,"Test"
"216","MarkN_10_F.Euk360_CR_21_R","Arthropoda",3462,52953,0.0653787320831681,"Eukaryota","18S",400,300,"Test"
"217","MarkN_10_F.Euk360_CR_21_R","Ascomycota",6932,52953,0.130908541536835,"Eukaryota","18S",400,300,"Test"
"218","MarkN_10_F.Euk360_CR_21_R","Bacillariophyta",2,52953,3.77693426245916e-05,"Eukaryota","18S",400,300,"Test"
"219","MarkN_10_F.Euk360_CR_21_R","Basidiomycota",2267,52953,0.0428115498649746,"Eukaryota","18S",400,300,"Test"
"220","MarkN_10_F.Euk360_CR_21_R","Bryozoa",21,52953,0.000396578097558212,"Eukaryota","18S",400,300,"Test"
"221","MarkN_10_F.Euk360_CR_21_R","Chlorophyta",3885,52953,0.0733669480482692,"Eukaryota","18S",400,300,"Test"
"222","MarkN_10_F.Euk360_CR_21_R","Chordata",9969,52953,0.188261288312277,"Eukaryota","18S",400,300,"Test"
"223","MarkN_10_F.Euk360_CR_21_R","Chytridiomycota",9,52953,0.000169962041810662,"Eukaryota","18S",400,300,"Test"
"224","MarkN_10_F.Euk360_CR_21_R","Cryptomycota",22,52953,0.000415462768870508,"Eukaryota","18S",400,300,"Test"
"225","MarkN_10_F.Euk360_CR_21_R","Microsporidia",16,52953,0.000302154740996733,"Eukaryota","18S",400,300,"Test"
"226","MarkN_10_F.Euk360_CR_21_R","Mucoromycota",15245,52953,0.28789681415595,"Eukaryota","18S",400,300,"Test"
"227","MarkN_10_F.Euk360_CR_21_R","Nematoda",202,52953,0.00381470360508375,"Eukaryota","18S",400,300,"Test"
"228","MarkN_10_F.Euk360_CR_21_R","Platyhelminthes",6712,52953,0.126753913848129,"Eukaryota","18S",400,300,"Test"
"229","MarkN_10_F.Euk360_CR_21_R","Streptophyta",1875,52953,0.0354087587105546,"Eukaryota","18S",400,300,"Test"
"230","MarkN_10_F.Euk360_CR_21_R","Tardigrada",313,52953,0.00591090212074859,"Eukaryota","18S",400,300,"Test"
"231","MarkN_10_F.Proti440R_28_R","Apicomplexa",1284,132024,0.00972550445373568,"Eukaryota","18S",400,300,"Test"
"232","MarkN_10_F.Proti440R_28_R","Arthropoda",4579,132024,0.0346830879234079,"Eukaryota","18S",400,300,"Test"
"233","MarkN_10_F.Proti440R_28_R","Ascomycota",10156,132024,0.0769254075016664,"Eukaryota","18S",400,300,"Test"
"234","MarkN_10_F.Proti440R_28_R","Basidiomycota",2386,132024,0.0180724716718172,"Eukaryota","18S",400,300,"Test"
"235","MarkN_10_F.Proti440R_28_R","Bryozoa",19,132024,0.000143913227897958,"Eukaryota","18S",400,300,"Test"
"236","MarkN_10_F.Proti440R_28_R","Chlorophyta",4697,132024,0.0355768648124583,"Eukaryota","18S",400,300,"Test"
"237","MarkN_10_F.Proti440R_28_R","Chordata",75356,132024,0.570775010604133,"Eukaryota","18S",400,300,"Test"
"238","MarkN_10_F.Proti440R_28_R","Chytridiomycota",89,132024,0.000674119856995698,"Eukaryota","18S",400,300,"Test"
"239","MarkN_10_F.Proti440R_28_R","Microsporidia",42,132024,0.000318123977458644,"Eukaryota","18S",400,300,"Test"
"240","MarkN_10_F.Proti440R_28_R","Mucoromycota",18426,132024,0.139565533539356,"Eukaryota","18S",400,300,"Test"
"241","MarkN_10_F.Proti440R_28_R","Nematoda",1247,132024,0.00944525237835545,"Eukaryota","18S",400,300,"Test"
