"","Primer_name","Family","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"84","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Cryptosporidiidae",646,75007,0.00861252949724692,"Eukaryota","18S",400,300,"Test"
"85","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Cyathocotylidae",12,75007,0.000159985068060314,"Eukaryota","18S",400,300,"Test"
"86","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Cyperaceae",2,75007,2.66641780100524e-05,"Eukaryota","18S",400,300,"Test"
"87","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Debaryomycetaceae",1453,75007,0.0193715253243031,"Eukaryota","18S",400,300,"Test"
"88","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Desmidiaceae",34,75007,0.000453291026170891,"Eukaryota","18S",400,300,"Test"
"89","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Dipodascaceae",1103,75007,0.0147052941725439,"Eukaryota","18S",400,300,"Test"
"90","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Ebriidae",20,75007,0.000266641780100524,"Eukaryota","18S",400,300,"Test"
"91","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Eimeriidae",90,75007,0.00119988801045236,"Eukaryota","18S",400,300,"Test"
"92","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Endogonaceae",6,75007,7.99925340301572e-05,"Eukaryota","18S",400,300,"Test"
"93","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Entolomataceae",86,75007,0.00114655965443225,"Eukaryota","18S",400,300,"Test"
"94","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Entomophthoraceae",21,75007,0.00027997386910555,"Eukaryota","18S",400,300,"Test"
"95","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Erysiphaceae",38,75007,0.000506619382190995,"Eukaryota","18S",400,300,"Test"
"96","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Eupodidae",7,75007,9.33246230351834e-05,"Eukaryota","18S",400,300,"Test"
"97","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Filobasidiaceae",10,75007,0.000133320890050262,"Eukaryota","18S",400,300,"Test"
"98","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Gigasporaceae",105,75007,0.00139986934552775,"Eukaryota","18S",400,300,"Test"
"99","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Glomosporiaceae",18,75007,0.000239977602090472,"Eukaryota","18S",400,300,"Test"
"100","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Gonostomatidae",59,75007,0.000786593251296546,"Eukaryota","18S",400,300,"Test"
"101","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Gregarinidae",252,75007,0.0033596864292666,"Eukaryota","18S",400,300,"Test"
"102","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Grossglockneriidae",7,75007,9.33246230351834e-05,"Eukaryota","18S",400,300,"Test"
"103","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Gymnoascaceae",138,75007,0.00183982828269362,"Eukaryota","18S",400,300,"Test"
